Day,Train No.,Org stn,Sign on,Dept time,Dest stn,Arr time,Sign off,Travel time,Duty time,NDH,Rest time
Duty 1 -
M,11007,CSMT,6:30,7:0,PUNE,11:5,11:35,4:5,5:5,0:0,'13:20
Tu,11140,PUNE,0:55,1:25,CSMT,5:10,5:40,3:45,4:45,4:45,'31:50
W,11019,CSMT,13:30,14:0,PUNE,17:50,18:20,3:50,4:50,0:0,'7:38
Th,11042,PUNE,1:58,2:28,DR,6:35,7:5,4:7,5:7,4:2,'16:35
F,22177,CSMT,23:40,0:10,IGP,3:0,3:30,2:50,3:50,3:50,'16:15
F,11072,IGP,19:45,20:15,LTT,22:55,23:25,2:40,3:40,1:25,'16:30
Sa,12107,LTT,15:55,16:25,IGP,18:55,19:25,2:30,3:30,0:0,'8:40
Su,12138,IGP,4:5,4:35,CSMT,7:35,8:5,3:0,4:0,1:55,'21:25
Duty 2 -
M,12859,CSMT,5:30,6:0,IGP,8:45,9:15,2:45,3:45,0:30,'12:0
M,22537,IGP,21:15,21:45,LTT,0:10,0:40,2:25,3:25,2:40,'16:15
Tu,12123(P),CSMT,16:55,17:10,PUNE,20:25,20:40,3:15,3:45,0:0,'10:40
W,12126,PUNE,7:20,7:50,CSMT,11:25,11:55,3:35,4:35,0:0,'18:45
Th,10103,CSMT,6:40,7:10,RN,13:35,14:5,6:25,7:25,0:0,'17:45
F,20923,RN,7:50,8:20,BSR,15:10,17:25,6:50,9:35,0:0,'29:10
Sa,12219,LTT,22:35,23:5,PUNE,2:5,2:35,3:0,4:0,4:0,'12:45
Su,11030,PUNE,15:20,15:50,CSMT,20:5,20:35,4:15,5:15,0:0,'20:20
Duty 3 -
M,12123(P),CSMT,16:55,17:10,PUNE,20:25,20:40,3:15,3:45,0:0,'11:10
Tu,22160,PUNE,7:50,8:20,CSMT,12:30,13:0,4:10,5:10,0:0,'18:55
W,20932,BSR,7:55,10:10,ROHA,12:55,13:25,2:45,5:30,0:0,'13:35
Th,11004,ROHA,3:0,3:30,DR,6:40,7:10,3:10,4:10,3:0,'16:25
F,11003,DR,23:35,0:5,ROHA,2:50,3:20,2:45,3:45,3:45,'23:40
Sa,11004,ROHA,3:0,3:30,DR,6:40,7:10,3:10,4:10,3:0,'16:15
Sa,11041,DR,23:25,23:55,PUNE,3:35,4:5,3:40,4:40,4:40,'13:20
Su,12128,PUNE,17:25,17:55,CSMT,21:5,21:35,3:10,4:10,0:0,'20:10
Duty 4 -
M,12109,CSMT,17:45,18:15,IGP,20:50,21:20,2:35,3:35,0:0,'9:35
Tu,17611,IGP,6:55,7:25,CSMT,10:7,10:37,2:42,3:42,0:0,'18:16
W,20103,LTT,4:53,5:23,IGP,8:0,8:30,2:37,3:37,1:7,'9:50
W,12172,IGP,18:20,18:50,LTT,21:30,22:0,2:40,3:40,0:0,'16:25
Th,12139,CSMT,14:25,14:55,IGP,17:40,18:10,2:45,3:45,0:0,'9:10
F,12106,IGP,3:20,3:50,CSMT,6:50,7:20,3:0,4:0,2:40,'16:5
F,11027,DR,23:25,23:55,PUNE,3:35,4:5,3:40,4:40,4:40,'12:5
Sa,22102,PUNE,16:10,16:40,LTT,20:30,21:0,3:50,4:50,0:0,'16:30
Su,11071,LTT,13:30,14:0,IGP,16:25,16:55,2:25,3:25,0:0,'09:50
Duty 5 -
M,15267,IGP,2:45,3:15,LTT,5:50,6:20,2:35,3:35,3:15,'16:15
M,20111,CSMT,22:35,23:5,RN,4:45,5:15,5:40,6:40,6:40,'26:35
W,19577,RN,7:50,8:20,BSR,15:10,17:25,6:50,9:35,0:0,'26:45
Th,22629,DR,20:10,20:40,ROHA,23:25,23:55,2:45,3:45,1:55,'20:25
F,11100,ROHA,20:20,20:50,LTT,23:25,23:55,2:35,3:35,1:55,'16:5
Sa,WTG,LTT,16:0,16:0,LTT,0:0,0:0,8:0,8:0,2:0,'19:25
Su,12111,CSMT,19:25,19:55,IGP,22:55,23:25,3:0,4:0,1:25,'10:20
Duty 6 -
M,12168,IGP,9:45,10:15,LTT,12:30,13:0,2:15,3:15,0:0,'16:10
Tu,22105,CSMT,5:10,5:40,PUNE,9:5,9:35,3:25,4:25,0:50,'13:45
Tu,11020,PUNE,23:20,23:50,CSMT,4:0,4:30,4:10,5:10,5:10,'16:30
W,11021,DR,21:0,21:30,PUNE,1:0,1:30,3:30,4:30,3:30,'8:20
Th,11014,PUNE,9:50,10:20,LTT,13:45,14:15,3:25,4:25,0:0,'26:10
F,12201,LTT,16:25,16:55,RN,22:27,22:57,5:32,6:32,0:57,'9:53
Sa,16346(P),RN,8:50,9:5,LTT,16:45,17:0,7:40,8:10,0:0,'27:5
Su,16331,CSMT,20:5,20:35,PUNE,0:20,0:50,3:45,4:45,2:50,'10:30
Duty 7 -
M,12164,PUNE,11:20,11:50,LTT,15:40,16:10,3:50,4:50,0:0,'20:50
Tu,12188,CSMT,13:0,13:30,IGP,16:10,16:40,2:40,3:40,0:0,'10:25
W,12618,IGP,3:5,3:35,PNVL,6:30,7:0,2:55,3:55,2:55,'16:5
W,12141,LTT,23:5,23:35,IGP,2:5,2:35,2:30,3:30,3:30,'9:40
Th,11056,IGP,12:15,12:45,LTT,15:20,15:50,2:35,3:35,0:0,'16:5
F,12534,CSMT,7:55,8:25,IGP,11:0,11:30,2:35,3:35,0:0,'15:0
Sa,12545,IGP,2:30,3:0,LTT,5:30,6:0,2:30,3:30,3:30,'16:5
Sa,11013,LTT,22:5,22:35,PUNE,1:55,2:25,3:20,4:20,4:20,'12:30
Su,16332,PUNE,14:55,15:25,CSMT,19:15,19:45,3:50,4:50,0:0,'21:10
Duty 8 -
M,12293,LTT,16:55,17:25,IGP,19:35,20:5,2:10,3:10,0:0,'8:45
Tu,12290,IGP,4:50,5:20,CSMT,8:5,8:35,2:45,3:45,1:10,'20:5
W,12051,CSMT,4:40,5:10,RN,10:30,11:0,5:20,6:20,1:20,'21:50
Th,16346(P),RN,8:50,9:5,LTT,16:45,17:0,7:40,8:10,0:0,'23:0
F,WTG,LTT,16:0,16:0,LTT,0:0,0:0,8:0,8:0,2:0,'19:33
Sa,22414,BSR,19:33,21:48,RN,3:5,3:35,5:17,8:2,5:35,'24:40
Duty 9 -
M,12202,RN,4:15,4:45,LTT,11:45,12:15,7:0,8:0,1:45,'30:50
Tu,12137,CSMT,19:5,19:35,IGP,22:20,22:50,2:45,3:45,0:50,'9:40
W,12140,IGP,8:30,9:0,CSMT,12:0,12:30,3:0,4:0,0:0,'18:55
Th,12171,LTT,7:25,7:55,IGP,10:15,10:45,2:20,3:20,0:0,'14:35
F,12810,IGP,1:20,1:50,CSMT,4:25,4:55,2:35,3:35,3:35,'16:5
F,17057,CSMT,21:0,21:30,IGP,0:20,0:50,2:50,3:50,2:50,'12:0
Sa,12072,IGP,12:50,13:20,CSMT,16:20,16:50,3:0,4:0,0:0,'18:20
Su,16345,LTT,11:10,11:40,ROHA,14:10,14:40,2:30,3:30,0:0,'22:42
Duty 10 -
M,16346,ROHA,13:22,13:52,LTT,16:45,17:15,2:53,3:53,0:0,'17:45
Tu,11061,LTT,11:0,11:30,IGP,14:10,14:40,2:40,3:40,0:0,'11:50
W,12174,IGP,2:30,3:0,LTT,5:30,6:0,2:30,3:30,3:30,'16:5
W,11013,LTT,22:5,22:35,PUNE,1:55,2:25,3:20,4:20,4:20,'12:20
Th,11008,PUNE,14:45,15:15,CSMT,19:5,19:35,3:50,4:50,0:0,'17:55
F,11019,CSMT,13:30,14:0,PUNE,17:50,18:20,3:50,4:50,0:0,'8:20
Sa,17317,PUNE,2:40,3:10,DR,7:0,7:30,3:50,4:50,3:20,'16:15
Su,12811,LTT,23:45,0:15,IGP,2:50,3:20,2:35,3:35,3:35,'9:30
Su,12072,IGP,12:50,13:20,CSMT,16:20,16:50,3:0,4:0,0:0,'23:05
Duty 11 -
M,12107,LTT,15:55,16:25,IGP,18:55,19:25,2:30,3:30,0:0,'7:55
Tu,12106,IGP,3:20,3:50,CSMT,6:50,7:20,3:0,4:0,2:40,'16:5
Tu,11041,DR,23:25,23:55,PUNE,3:35,4:5,3:40,4:40,4:40,'11:30
W,11302,PUNE,15:35,16:5,CSMT,20:15,20:45,4:10,5:10,0:0,'19:25
Th,15102,LTT,16:10,16:40,IGP,20:0,20:30,3:20,4:20,0:0,'11:40
F,22178,IGP,8:10,8:40,CSMT,11:40,12:10,3:0,4:0,0:0,'18:20
Sa,11007,CSMT,6:30,7:0,PUNE,11:5,11:35,4:5,5:5,0:0,'12:45
Su,18519,PUNE,0:20,0:50,LTT,4:15,4:45,3:25,4:25,4:25,'16:15
Su,11005,DR,21:0,21:30,PUNE,1:0,1:30,3:30,4:30,3:30,'13:25
Duty 12 -
M,16352,PUNE,14:55,15:25,CSMT,19:15,19:45,3:50,4:50,0:0,'17:45
Tu,11019,CSMT,13:30,14:0,PUNE,17:50,18:20,3:50,4:50,0:0,'8:20
W,17317,PUNE,2:40,3:10,DR,7:0,7:30,3:50,4:50,3:20,'21:50
Th,22119,CSMT,5:20,5:50,RN,11:0,11:30,5:10,6:10,0:40,'16:45
F,12202,RN,4:15,4:45,LTT,11:45,12:15,7:0,8:0,1:45,'30:20
