Day,Train No.,Org stn,Sign on,Dept time,Dest stn,Arr time,Sign off,Travel time,Duty time,NDH,Rest time
Duty 1 -,,,,,,,,,,,
M,12125,CSMT,15:55,16:25,PUNE,19:50,20:20,3:25,4:25,0:00,'9:15
Tu,11010,PUNE,5:35,6:05,CSMT,9:55,10:25,3:50,4:50,0:25,'33:20
W,12289,CSMT,19:45,20:15,IGP,22:35,23:05,2:20,3:20,1:05,'15:25
Th,15648,IGP,14:30,15:00,LTT,17:50,18:20,2:50,3:50,0:00,'17:20
F,12071,CSMT,11:40,12:10,IGP,15:00,15:30,2:50,3:50,0:00,'12:25
Sa,17058,IGP,3:55,4:25,CSMT,7:10,7:40,2:45,3:45,2:05,'24:30
Su,12534(P),CSMT,8:10,8:25,IGP,11:00,11:15,2:35,3:05,0:00,'7:35
Su,17618,IGP,18:50,19:20,CSMT,21:55,22:25,2:35,3:35,0:25,'22:25
Duty 2 -,,,,,,,,,,,
M,11139,CSMT,20:50,21:20,PUNE,1:10,1:40,3:50,4:50,3:40,'23:50
W,22158,PUNE,1:30,2:00,CSMT,5:50,6:20,3:50,4:50,4:30,'16:5
W,22157,CSMT,22:25,22:55,PUNE,2:55,3:25,4:00,5:00,5:00,'24:20
F,22144,PUNE,3:45,4:15,CSMT,7:55,8:25,3:40,4:40,2:15,'23:45
Sa,12534(P),CSMT,8:10,8:25,IGP,11:00,11:15,2:35,3:05,0:00,'7:35
Sa,17618,IGP,18:50,19:20,CSMT,21:55,22:25,2:35,3:35,0:25,'17:30
Su,12125,CSMT,15:55,16:25,PUNE,19:50,20:20,3:25,4:25,0:00,'09:15
Duty 3 -,,,,,,,,,,,
M,11010,PUNE,5:35,6:05,CSMT,9:55,10:25,3:50,4:50,0:25,'33:20
Tu,12289,CSMT,19:45,20:15,IGP,22:35,23:05,2:20,3:20,1:05,'15:25
W,12335,IGP,14:30,15:00,LTT,17:50,18:20,2:50,3:50,0:00,'17:20
Th,12071,CSMT,11:40,12:10,IGP,15:00,15:30,2:50,3:50,0:00,'12:25
F,17058,IGP,3:55,4:25,CSMT,7:10,7:40,2:45,3:45,2:05,'26:45
Sa,11059,LTT,10:25,10:55,IGP,13:45,14:15,2:50,3:50,0:00,'6:40
Sa,11058,IGP,20:55,21:25,CSMT,0:05,0:35,2:40,3:40,2:35,'19:10
Su,12289,CSMT,19:45,20:15,IGP,22:35,23:05,2:20,3:20,1:05,'15:25
Duty 4 -,,,,,,,,,,,
M,12335,IGP,14:30,15:00,LTT,17:50,18:20,2:50,3:50,0:00,'17:20
Tu,12071,CSMT,11:40,12:10,IGP,15:00,15:30,2:50,3:50,0:00,'12:25
W,17058,IGP,3:55,4:25,CSMT,7:10,7:40,2:45,3:45,2:05,'26:45
Th,11059,LTT,10:25,10:55,IGP,13:45,14:15,2:50,3:50,0:00,'6:40
Th,11058,IGP,20:55,21:25,CSMT,0:05,0:35,2:40,3:40,2:35,'19:15
F,17411,CSMT,19:50,20:20,PUNE,0:10,0:40,3:50,4:50,2:40,'6:20
Sa,12124(P),PUNE,7:00,7:15,CSMT,10:25,10:40,3:10,3:40,0:00,'33:10
Su,17411,CSMT,19:50,20:20,PUNE,0:10,0:40,3:50,4:50,2:40,'06:20
Duty 5 -,,,,,,,,,,,
